"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
100	1000	0.1	10	0.12	"0.76 ( 0.01 )"	"22.02 ( 1.97 )"	"2.07 ( 0.1 )"	24.95	0.75	0.76	22.02	2.07	"elnet"
500	1000	0.1	2	0.23	"0.91 ( 0 )"	"21.07 ( 1.75 )"	"0 ( 0 )"	26.07	0.66	0.91	21.07	0	"elnet"
1000	1000	0.1	1	0.24	"0.92 ( 0 )"	"19.56 ( 2.29 )"	"0 ( 0 )"	24.56	0.57	0.92	19.56	0	"elnet"
50	50	0.3	1	0.13	"0.76 ( 0.01 )"	"11.32 ( 0.99 )"	"1.87 ( 0.14 )"	14.45	0.59	0.76	11.32	1.87	"elnet"
100	50	0.3	0.5	0.18	"0.83 ( 0.01 )"	"12.96 ( 0.86 )"	"0.75 ( 0.09 )"	17.21	0.61	0.83	12.96	0.75	"elnet"
500	50	0.3	0.1	0.33	"0.91 ( 0 )"	"9.89 ( 0.75 )"	"0 ( 0 )"	14.89	0.51	0.91	9.89	0	"elnet"
1000	50	0.3	0.05	0.38	"0.92 ( 0 )"	"8.56 ( 0.69 )"	"0 ( 0 )"	13.56	0.44	0.92	8.56	0	"elnet"
50	100	0.3	2	0.08	"0.74 ( 0.01 )"	"17.99 ( 1.78 )"	"2.32 ( 0.14 )"	20.67	0.72	0.74	17.99	2.32	"elnet"
100	100	0.3	1	0.17	"0.82 ( 0.01 )"	"14.36 ( 1.25 )"	"1.36 ( 0.12 )"	18	0.6	0.82	14.36	1.36	"elnet"
500	100	0.3	0.2	0.29	"0.91 ( 0 )"	"13.08 ( 1 )"	"0 ( 0 )"	18.08	0.56	0.91	13.08	0	"elnet"
1000	100	0.3	0.1	0.38	"0.92 ( 0 )"	"9.67 ( 0.76 )"	"0 ( 0 )"	14.67	0.49	0.92	9.67	0	"elnet"
50	500	0.3	10	0.03	"0.66 ( 0.01 )"	"49.2 ( 5.65 )"	"3.15 ( 0.13 )"	51.05	0.89	0.66	49.2	3.15	"elnet"
100	500	0.3	5	0.11	"0.77 ( 0.01 )"	"23.84 ( 2.37 )"	"2.05 ( 0.11 )"	26.79	0.73	0.77	23.84	2.05	"elnet"
500	500	0.3	1	0.19	"0.91 ( 0 )"	"25.04 ( 1.69 )"	"0 ( 0 )"	30.04	0.72	0.91	25.04	0	"elnet"
1000	500	0.3	0.5	0.25	"0.92 ( 0 )"	"18.51 ( 1.25 )"	"0 ( 0 )"	23.51	0.66	0.92	18.51	0	"elnet"
50	1000	0.3	20	0.02	"0.67 ( 0.01 )"	"54.74 ( 6.8 )"	"3.54 ( 0.12 )"	56.2	0.91	0.67	54.74	3.54	"elnet"
100	1000	0.3	10	0.08	"0.75 ( 0.01 )"	"28.55 ( 5.11 )"	"2.58 ( 0.11 )"	30.97	0.75	0.75	28.55	2.58	"elnet"
500	1000	0.3	2	0.17	"0.9 ( 0 )"	"29.91 ( 1.92 )"	"0 ( 0 )"	34.91	0.76	0.9	29.91	0	"elnet"
1000	1000	0.3	1	0.19	"0.92 ( 0 )"	"25.69 ( 2.26 )"	"0 ( 0 )"	30.69	0.66	0.92	25.69	0	"elnet"
50	50	0.5	1	0.12	"0.74 ( 0.01 )"	"11.42 ( 0.91 )"	"2.04 ( 0.13 )"	14.38	0.64	0.74	11.42	2.04	"elnet"
100	50	0.5	0.5	0.19	"0.83 ( 0.01 )"	"11.74 ( 0.82 )"	"1.01 ( 0.11 )"	15.73	0.6	0.83	11.74	1.01	"elnet"
500	50	0.5	0.1	0.31	"0.91 ( 0 )"	"10.82 ( 0.72 )"	"0 ( 0 )"	15.82	0.54	0.91	10.82	0	"elnet"
1000	50	0.5	0.05	0.36	"0.91 ( 0 )"	"9.23 ( 0.76 )"	"0 ( 0 )"	14.23	0.46	0.91	9.23	0	"elnet"
50	100	0.5	2	0.08	"0.72 ( 0.01 )"	"18.36 ( 1.76 )"	"2.53 ( 0.12 )"	20.83	0.72	0.72	18.36	2.53	"elnet"
100	100	0.5	1	0.16	"0.81 ( 0.01 )"	"15.05 ( 1.14 )"	"1.47 ( 0.12 )"	18.58	0.67	0.81	15.05	1.47	"elnet"
500	100	0.5	0.2	0.27	"0.91 ( 0 )"	"14.93 ( 0.96 )"	"0 ( 0 )"	19.93	0.64	0.91	14.93	0	"elnet"
1000	100	0.5	0.1	0.38	"0.91 ( 0 )"	"10.11 ( 0.76 )"	"0 ( 0 )"	15.11	0.52	0.91	10.11	0	"elnet"
50	500	0.5	10	0.03	"0.69 ( 0.01 )"	"40.87 ( 5.37 )"	"3.42 ( 0.13 )"	42.45	0.87	0.69	40.87	3.42	"elnet"
100	500	0.5	5	0.09	"0.76 ( 0.01 )"	"22.4 ( 3.42 )"	"2.91 ( 0.1 )"	24.49	0.72	0.76	22.4	2.91	"elnet"
500	500	0.5	1	0.19	"0.89 ( 0 )"	"26.07 ( 1.56 )"	"0.01 ( 0.01 )"	31.06	0.74	0.89	26.07	0.01	"elnet"
1000	500	0.5	0.5	0.21	"0.91 ( 0 )"	"22.64 ( 1.75 )"	"0 ( 0 )"	27.64	0.69	0.91	22.64	0	"elnet"
50	1000	0.5	20	0.02	"0.66 ( 0.01 )"	"61.74 ( 7.68 )"	"3.7 ( 0.11 )"	63.04	0.91	0.66	61.74	3.7	"elnet"
100	1000	0.5	10	0.07	"0.75 ( 0.01 )"	"27.52 ( 4.1 )"	"3.1 ( 0.09 )"	29.42	0.8	0.75	27.52	3.1	"elnet"
500	1000	0.5	2	0.16	"0.89 ( 0 )"	"31.54 ( 2.49 )"	"0.05 ( 0.03 )"	36.49	0.74	0.89	31.54	0.05	"elnet"
1000	1000	0.5	1	0.17	"0.91 ( 0 )"	"29.65 ( 2.06 )"	"0 ( 0 )"	34.65	0.75	0.91	29.65	0	"elnet"
50	50	0.7	1	0.1	"0.75 ( 0.01 )"	"12.33 ( 0.98 )"	"2.23 ( 0.15 )"	15.1	0.64	0.75	12.33	2.23	"elnet"
100	50	0.7	0.5	0.18	"0.81 ( 0.01 )"	"11.18 ( 0.86 )"	"1.42 ( 0.12 )"	14.76	0.59	0.81	11.18	1.42	"elnet"
